Family,Genre,Note,Instances
Aldehydes,Soapy notes,Soap,89
Aldehydes,Soapy notes,Soapy notes,25
Aldehydes,Soapy notes,French soap,6
Aldehydes,Soapy notes,Shampoo,5
Aldehydes,Soapy notes,Fabric softener,1
Aldehydes,Soapy notes,Saddle soap,1
Aldehydes,Soapy notes,Turkish soap,1
Not Categorized,Amber ,Amber,31558
Not Categorized,Amber ,Amberwood,1089
Not Categorized,Amber ,White amber,963
Not Categorized,Amber ,Black amber,341
Not Categorized,Amber ,Fossilised amber,194
Not Categorized,Amber ,Crystal amber,142
Not Categorized,Amber ,Amber Xtreme™,77
Not Categorized,Amber ,Cetalox®,54
Not Categorized,Amber ,Red amber,47
Not Categorized,Amber ,Lorenox™,42
Not Categorized,Amber ,Egyptian amber,40
Not Categorized,Amber ,Ambrocenide®,37
Not Categorized,Amber ,Indian amber,34
Not Categorized,Amber ,Norlimbanol™,29
Not Categorized,Amber ,Amber notes,27
Not Categorized,Amber ,Ambermax®,26
Not Categorized,Amber ,Ambertonic®,25
Not Categorized,Amber ,Mineral amber,23
Not Categorized,Amber ,Tunisian amber,23
Not Categorized,Amber ,Baltic amber,21
Not Categorized,Amber ,Cedramber,20
Not Categorized,Amber ,Vegetal amber,20
Not Categorized,Amber ,Himalayan amber,19
Not Categorized,Amber ,Ambramone™,16
Not Categorized,Amber ,Green amber,16
Not Categorized,Amber ,Amber absolute,10
Not Categorized,Amber ,Fossilized himalayan amber,10
Not Categorized,Amber ,Karanal,9
Not Categorized,Amber ,Limbanol®,8
Not Categorized,Amber ,Moroccan amber,8
Not Categorized,Amber ,Persian amber,7
Not Categorized,Amber ,Timberol®,7
Not Categorized,Amber ,Amberketal,6
Not Categorized,Amber ,Blue amber,6
Not Categorized,Amber ,Sclarene,6
Not Categorized,Amber ,Ambre 84 accord,5
Not Categorized,Amber ,Tibetan amber,5
Not Categorized,Amber ,Ambranum,4
Not Categorized,Amber ,Dynamone,4
Not Categorized,Amber ,Oriental amber,4
Not Categorized,Amber ,Trisamber®,4
Not Categorized,Amber ,Aldambre™,3
Not Categorized,Amber ,Limbwood,3
Not Categorized,Amber ,Nepalese amber,3
Not Categorized,Amber ,Peruan amber,3
Not Categorized,Amber ,Amber Core,2
Not Categorized,Amber ,Ambre 83 accord,2
Not Categorized,Amber ,Arabian amber,2
Not Categorized,Amber ,Okoumal®,2
Not Categorized,Amber ,Spanish amber,2
Not Categorized,Amber ,White amber absolute,2
Not Categorized,Amber ,Ysamber K®,2
Not Categorized,Amber ,African amber,1
Not Categorized,Amber ,Amberlyn®,1
Not Categorized,Amber ,Australian amber,1
Not Categorized,Amber ,Brazilian amber,1
Not Categorized,Amber ,Cuban amber,1
Not Categorized,Amber ,Egyptian white amber,1
Not Categorized,Amber ,Fossilised amber absolute,1
Not Categorized,Amber ,Greek amber,1
Not Categorized,Amber ,Indian amber absolute,1
Not Categorized,Amber ,Japanese amber,1
Not Categorized,Amber ,Peruvian white amber,1
Not Categorized,Amber ,Swedish fossilised amber,1
Not Categorized,Amber ,Turkish amber,1
Animalic notes,Ambergris ,Ambergris,6880
Animalic notes,Ambergris ,Ambroxan,1329
Animalic notes,Ambergris ,Ambrox,433
Animalic notes,Ambergris ,White ambergris,221
Animalic notes,Ambergris ,Orcanox,112
Animalic notes,Ambergris ,Ambrofix,56
Animalic notes,Ambergris ,Black ambergris,54
Animalic notes,Ambergris ,Ambreine,53
Animalic notes,Ambergris ,Brown ambergris,44
Animalic notes,Ambergris ,Ambergris,22
Animalic notes,Ambergris ,Ambrarome,22
Animalic notes,Ambergris ,New Zealand ambergris,22
Animalic notes,Ambergris ,Bahamian ambergris,14
Animalic notes,Ambergris ,Indian ambergris,13
Animalic notes,Ambergris ,Irish ambergris,13
Animalic notes,Ambergris ,Cachalox,10
Animalic notes,Ambergris ,Ambergris absolute,9
Animalic notes,Ambergris ,Ambrarome absolute,9
Animalic notes,Ambergris ,New Zealand white ambergris,9
Animalic notes,Ambergris ,Baltic ambergris,6
Animalic notes,Ambergris ,Irish white ambergris,6
Animalic notes,Ambergris ,Grisalva,5
Animalic notes,Ambergris ,Scottish ambergris,5
Animalic notes,Ambergris ,Madagascan ambergris,4
Animalic notes,Ambergris ,Mozambican ambergris,4
Animalic notes,Ambergris ,Yemenite ambergris,4
Animalic notes,Ambergris ,Jamaican ambergris,3
Animalic notes,Ambergris ,Omanian ambergris,3
Animalic notes,Ambergris ,Arabian ambergris,2
Animalic notes,Ambergris ,Bahamian white ambergris,2
Animalic notes,Ambergris ,Black ambergris absolute,2
Animalic notes,Ambergris ,Irish brown ambergris,2
Animalic notes,Ambergris ,American ambergris,1
Animalic notes,Ambergris ,Australian ambergris,1
Animalic notes,Ambergris ,Bahamian ambergris absolute,1
Animalic notes,Ambergris ,Belizean ambergris,1
Animalic notes,Ambergris ,French ambergris,1
Animalic notes,Ambergris ,Indian ambergris absolute,1
Animalic notes,Ambergris ,Irish black ambergris,1
Animalic notes,Ambergris ,Japanese ambergris,1
Animalic notes,Ambergris ,Philippine ambergris,1
Animalic notes,Ambergris ,Russian ambergris,1
Animalic notes,Ambergris ,Sumatran ambergris,1
Animalic notes,Hyraceum ,Hyraceum ,245
Animalic notes,Hyraceum ,Hyraceum absolute ,20
Animalic notes,Hyraceum ,South African hyrax,7
Animalic notes,Hyraceum ,Somalian hyraceum ,3
Animalic notes,Hyraceum ,African hyrax,1
Animalic notes,Castoreum ,Castoreum,1083
Animalic notes,Castoreum ,Castoreum absolute,23
Animalic notes,Castoreum ,Siberian castoreum,17
Animalic notes,Castoreum ,Canadian castoreum,7
Animalic notes,Castoreum ,Swedish castoreum,7
Animalic notes,Castoreum ,Russian castoreum,4
Animalic notes,Castoreum ,American castoreum,1
Animalic notes,Castoreum ,Canadian castoreum absolute,1
Animalic notes,Leather ,Leather,8421
Animalic notes,Leather ,Suede,1264
Animalic notes,Leather ,Black leather,154
Animalic notes,Leather ,Russian leather,123
Animalic notes,Leather ,White leather,74
Animalic notes,Leather ,Blond leather,41
Animalic notes,Leather ,Tuscan leather,40
Animalic notes,Leather ,Italian leather,31
Animalic notes,Leather ,Smoked leather,18
Animalic notes,Leather ,Morocco leather,13
Animalic notes,Leather ,Brown leather,10
Animalic notes,Leather ,Red leather,9
Animalic notes,Leather ,English leather,8
Animalic notes,Leather ,Chamois leather,7
Animalic notes,Leather ,Nappa leather,6
Animalic notes,Leather ,Snake leather,6
Animalic notes,Leather ,Spanish leather,6
Animalic notes,Leather ,Deerskin,3
Animalic notes,Leather ,Kashmiri leather,3
Animalic notes,Leather ,Nubuck,3
Animalic notes,Leather ,French leather,2
Animalic notes,Leather ,Irish leather,2
Animalic notes,Leather ,Arabian leather,1
Animalic notes,Leather ,Balkans leather,1
Animalic notes,Leather ,Barenia leather,1
Animalic notes,Leather ,Burnt leather,1
Animalic notes,Leather ,Fallow deer leather,1
Animalic notes,Leather ,Gaucho leather,1
Animalic notes,Leather ,Green leather,1
Animalic notes,Leather ,Laotian buaya,1
Animalic notes,Leather ,Scottish leather,1
Animalic notes,Leather ,Siberian leather,1
Animalic notes,Leather ,Texan leather,1
Animalic notes,Civet ,Civet,1423
Animalic notes,Civet ,Civet absolute,48
Animalic notes,Civet ,Ethiopian civet,19
Animalic notes,Civet ,Civettone,14
Animalic notes,Civet ,Indian civet,13
Animalic notes,Civet ,Indian civet absolute,4
Animalic notes,Civet ,Thai civet,2
Animalic notes,Skin,Sensual skin accord ,147
Animalic notes,Skin,Animalic notes ,5
Aquatic notes,Algae ,Algae,160
Aquatic notes,Algae ,Irish moss,118
Aquatic notes,Algae ,Seagrass,108
Aquatic notes,Algae ,Iodine,28
Aquatic notes,Algae ,Algae absolute,21
Aquatic notes,Algae ,Red algae,20
Aquatic notes,Algae ,Bladderwrack,11
Aquatic notes,Algae ,Brown algae,7
Aquatic notes,Algae ,Laminaria,7
Aquatic notes,Algae ,French bladderwrack,5
Aquatic notes,Algae ,Red seagrass,5
Aquatic notes,Algae ,Oarweed absolute,3
Aquatic notes,Algae ,Blue-green algae,2
Aquatic notes,Algae ,Seagrass absolute,2
Aquatic notes,Algae ,Black algae,1
Aquatic notes,Algae ,Dulse,1
Aquatic notes,Algae ,French brown algae,1
Aquatic notes,Algae ,Japanese bladderwrack,1
Aquatic notes,Algae ,Nori,1
Aquatic notes,Algae ,Sardinian seagrass,1
Aquatic notes,Marine notes,Marine notes,2441
Aquatic notes,Marine notes,Driftwood,589
Aquatic notes,Marine notes,Sea salt,545
Aquatic notes,Marine notes,Sea breeze,527
Aquatic notes,Marine notes,Kelp,401
Aquatic notes,Marine notes,Seawater,311
Aquatic notes,Marine notes,Spindrift,193
Aquatic notes,Marine notes,Algae,160
Aquatic notes,Marine notes,Seagrass,108
Aquatic notes,Marine notes,Suntan lotion,62
Aquatic notes,Marine notes,Sea mist,60
Aquatic notes,Marine notes,Salty air,48
Aquatic notes,Marine notes,Sea shell,47
Aquatic notes,Marine notes,Iodine,28
Aquatic notes,Marine notes,Coral,22
Aquatic notes,Marine notes,Sea minerals,19
Aquatic notes,Marine notes,Suntan oil,8
Aquatic notes,Marine notes,Oyster,7
Aquatic notes,Marine notes,Red seagrass,5
Aquatic notes,Marine notes,Arctical™,4
Aquatic notes,Marine notes,French kelp absolute,4
Aquatic notes,Marine notes,Italian kelp,3
Aquatic notes,Marine notes,Italian sea salt,3
Aquatic notes,Marine notes,Oysterplant,2
Aquatic notes,Marine notes,Sea plants,2
Aquatic notes,Marine notes,Seagrass absolute,2
Aquatic notes,Marine notes,Starfish,2
Aquatic notes,Marine notes,Blue kelp,1
Aquatic notes,Marine notes,Egyptian kelp,1
Aquatic notes,Marine notes,German kelp absolute,1
Aquatic notes,Marine notes,Icelandic kelp,1
Aquatic notes,Marine notes,Icelandic kelp absolute,1
Aquatic notes,Marine notes,Mexican sea salt,1
Aquatic notes,Marine notes,Nautilus shell,1
Aquatic notes,Marine notes,North Atlantic,1
Aquatic notes,Marine notes,Pino Acetaldehyde,1
Aquatic notes,Marine notes,Sardinian seagrass,1
Aquatic notes,Kelp ,Kelp,401
Aquatic notes,Kelp ,Fucus absolute,63
Aquatic notes,Kelp ,Red kelp,8
Aquatic notes,Kelp ,Dried kelp,4
Aquatic notes,Kelp ,French kelp absolute,4
Aquatic notes,Kelp ,French kelp,3
Aquatic notes,Kelp ,Italian kelp,3
Aquatic notes,Kelp ,Blue kelp,1
Aquatic notes,Kelp ,Egyptian kelp,1
Aquatic notes,Kelp ,German kelp absolute,1
Aquatic notes,Kelp ,Icelandic kelp,1
Aquatic notes,Kelp ,Icelandic kelp absolute,1
Aquatic notes,Ozone ,Ozone,814
Aquatic notes,Ozone ,Air accord,562
Aquatic notes,Ozone ,Ozonic notes,513
Aquatic notes,Ozone ,Oxygen,26
Aquatic notes,Ozone ,Floralozone,18
Aquatic notes,Ozone ,Helional,18
Aquatic notes,Ozone ,Blue sky accord,11
Aquatic notes,Ozone ,Calypsone®,11
Aquatic notes,Ozone ,Liquid oxygen,3
Aquatic notes,Ozone ,Liquazone,1
Aquatic notes,Ozone ,Pino Acetaldehyde,1
Balsamic notes,Amyris ,Amyris,818
Balsamic notes,Amyris ,Haitian amyris,26
Balsamic notes,Amyris ,Amyris bark,13
Balsamic notes,Amyris ,Dominican amyris,7
Balsamic notes,Amyris ,Jamaican amyris,6
Balsamic notes,Amyris ,Caribbean amyris,4
Balsamic notes,Amyris ,West Indian amyris,3
Balsamic notes,Balsam fir,Balsam fir,284
Balsamic notes,Balsam fir,Balsam fir absolute,30
Balsamic notes,Balsam fir,Balsam fir needle,28
Balsamic notes,Balsam fir,Balsam fir resin,4
Balsamic notes,Balsam fir,Canadian Balsam fir absolute,1
Balsamic notes,Balsam poplar,Balsam poplar bud ,7
Balsamic notes,Balsam poplar,Balsam poplar,3
Balsamic notes,Balsam poplar,Black cottonwood ,3
Balsamic notes,Balsams ,Pine balsam,12
Balsamic notes,Balsams ,Spruce balsam,10
Balsamic notes,Balsams ,African balsam,2
Balsamic notes,Balsams ,Canada balsam,1
Balsamic notes,Balsams ,Nulu balsam,1
Balsamic notes,Cistus ,Cistus,1379
Balsamic notes,Cistus ,Cistus absolute,167
Balsamic notes,Cistus ,Spanish cistus,66
Balsamic notes,Cistus ,Gum rockrose,20
Balsamic notes,Cistus ,Spanish cistus absolute,13
Balsamic notes,Cistus ,Cistus leaf,7
Balsamic notes,Cistus ,Cistus creticus,6
Balsamic notes,Cistus ,French cistus,5
Balsamic notes,Cistus ,Corsican cistus,3
Balsamic notes,Cistus ,Moroccan cistus,3
Balsamic notes,Cistus ,Spanish cistus absolute Orpur®,3
Balsamic notes,Cistus ,Tibetan cistus,3
Balsamic notes,Cistus ,Cistus concrete,2
Balsamic notes,Cistus ,Greek cistus,2
Balsamic notes,Cistus ,Indian cistus,2
Balsamic notes,Cistus ,Montpellier cistus,2
Balsamic notes,Cistus ,Moroccan cistus absolute,2
Balsamic notes,Cistus ,Omani cistus,2
